100000 100000
1152 1 100000
1152 100000 1
1154 1 100000
1154 100000 1
1156 1 100000
1156 100000 1
1158 1 100000
1158 100000 1
1160 1 100000
1160 100000 1
1162 1 100000
1162 100000 1
1164 1 100000
1164 100000 1
1166 1 100000
1166 100000 1
1168 1 100000
1168 100000 1
1170 1 100000
1170 100000 1
1172 1 100000
1172 100000 1
1174 1 100000
1174 100000 1
1176 1 100000
1176 100000 1
1178 1 100000
1178 100000 1
1180 1 100000
1180 100000 1
1182 1 100000
1182 100000 1
1184 1 100000
1184 100000 1
1186 1 100000
1186 100000 1
1188 1 100000
1188 100000 1
1190 1 100000
1190 100000 1
1192 1 100000
1192 100000 1
1194 1 100000
1194 100000 1
1196 1 100000
1196 100000 1
1198 1 100000
1198 100000 1
1200 1 100000
1200 100000 1
1202 1 100000
1202 100000 1
1204 1 100000
1204 100000 1
1206 1 100000
1206 100000 1
1208 1 100000
1208 100000 1
1210 1 100000
1210 100000 1
1212 1 100000
1212 100000 1
1214 1 100000
1214 100000 1
1216 1 100000
1216 100000 1
1218 1 100000
1218 100000 1
1220 1 100000
1220 100000 1
1222 1 100000
1222 100000 1
1224 1 100000
1224 100000 1
1226 1 100000
1226 100000 1
1228 1 100000
1228 100000 1
1230 1 100000
1230 100000 1
1232 1 100000
1232 100000 1
1234 1 100000
1234 100000 1
1236 1 100000
1236 100000 1
1238 1 100000
1238 100000 1
1240 1 100000
1240 100000 1
1242 1 100000
1242 100000 1
1244 1 100000
1244 100000 1
1246 1 100000
1246 100000 1
1248 1 100000
1248 100000 1
1250 1 100000
1250 100000 1
1252 1 100000
1252 100000 1
1254 1 100000
1254 100000 1
1256 1 100000
1256 100000 1
1258 1 100000
1258 100000 1
1260 1 100000
1260 100000 1
1262 1 100000
1262 100000 1
1264 1 100000
1264 100000 1
1266 1 100000
1266 100000 1
1268 1 100000
1268 100000 1
1270 1 100000
1270 100000 1
1272 1 100000
1272 100000 1
1274 1 100000
1274 100000 1
1276 1 100000
1276 100000 1
1278 1 100000
1278 100000 1
1280 1 100000
1280 100000 1
1282 1 100000
1282 100000 1
1284 1 100000
1284 100000 1
1286 1 100000
1286 100000 1
1288 1 100000
1288 100000 1
1290 1 100000
1290 100000 1
1292 1 100000
1292 100000 1
1294 1 100000
1294 100000 1
1296 1 100000
1296 100000 1
1298 1 100000
1298 100000 1
1300 1 100000
1300 100000 1
1302 1 100000
1302 100000 1
1304 1 100000
1304 100000 1
1306 1 100000
1306 100000 1
1308 1 100000
1308 100000 1
1310 1 100000
1310 100000 1
1312 1 100000
1312 100000 1
1314 1 100000
1314 100000 1
1316 1 100000
1316 100000 1
1318 1 100000
1318 100000 1
1320 1 100000
1320 100000 1
1322 1 100000
1322 100000 1
1324 1 100000
1324 100000 1
1326 1 100000
1326 100000 1
1328 1 100000
1328 100000 1
1330 1 100000
1330 100000 1
1332 1 100000
1332 100000 1
1334 1 100000
1334 100000 1
1336 1 100000
1336 100000 1
1338 1 100000
1338 100000 1
1340 1 100000
1340 100000 1
1342 1 100000
1342 100000 1
1344 1 100000
1344 100000 1
1346 1 100000
1346 100000 1
1348 1 100000
1348 100000 1
1350 1 100000
1350 100000 1
1352 1 100000
1352 100000 1
1354 1 100000
1354 100000 1
1356 1 100000
1356 100000 1
1358 1 100000
1358 100000 1
1360 1 100000
1360 100000 1
1362 1 100000
1362 100000 1
1364 1 100000
1364 100000 1
1366 1 100000
1366 100000 1
1368 1 100000
1368 100000 1
1370 1 100000
1370 100000 1
1372 1 100000
1372 100000 1
1374 1 100000
1374 100000 1
1376 1 100000
1376 100000 1
1378 1 100000
1378 100000 1
1380 1 100000
1380 100000 1
1382 1 100000
1382 100000 1
1384 1 100000
1384 100000 1
1386 1 100000
1386 100000 1
1388 1 100000
1388 100000 1
1390 1 100000
1390 100000 1
1392 1 100000
1392 100000 1
1394 1 100000
1394 100000 1
1396 1 100000
1396 100000 1
1398 1 100000
1398 100000 1
1400 1 100000
1400 100000 1
1402 1 100000
1402 100000 1
1404 1 100000
1404 100000 1
1406 1 100000
1406 100000 1
1408 1 100000
1408 100000 1
1410 1 100000
1410 100000 1
1412 1 100000
1412 100000 1
1414 1 100000
1414 100000 1
1416 1 100000
1416 100000 1
1418 1 100000
1418 100000 1
1420 1 100000
1420 100000 1
1422 1 100000
1422 100000 1
1424 1 100000
1424 100000 1
1426 1 100000
1426 100000 1
1428 1 100000
1428 100000 1
1430 1 100000
1430 100000 1
1432 1 100000
1432 100000 1
1434 1 100000
1434 100000 1
1436 1 100000
1436 100000 1
1438 1 100000
1438 100000 1
1440 1 100000
1440 100000 1
1442 1 100000
1442 100000 1
1444 1 100000
1444 100000 1
1446 1 100000
1446 100000 1
1448 1 100000
1448 100000 1
1450 1 100000
1450 100000 1
1452 1 100000
1452 100000 1
1454 1 100000
1454 100000 1
1456 1 100000
1456 100000 1
1458 1 100000
1458 100000 1
1460 1 100000
1460 100000 1
1462 1 100000
1462 100000 1
1464 1 100000
1464 100000 1
1466 1 100000
1466 100000 1
1468 1 100000
1468 100000 1
1470 1 100000
1470 100000 1
1472 1 100000
1472 100000 1
1474 1 100000
1474 100000 1
1476 1 100000
1476 100000 1
1478 1 100000
1478 100000 1
1480 1 100000
1480 100000 1
1482 1 100000
1482 100000 1
1484 1 100000
1484 100000 1
1486 1 100000
1486 100000 1
1488 1 100000
1488 100000 1
1490 1 100000
1490 100000 1
1492 1 100000
1492 100000 1
1494 1 100000
1494 100000 1
1496 1 100000
1496 100000 1
1498 1 100000
1498 100000 1
1500 1 100000
1500 100000 1
1502 1 100000
1502 100000 1
1504 1 100000
1504 100000 1
1506 1 100000
1506 100000 1
1508 1 100000
1508 100000 1
1510 1 100000
1510 100000 1
1512 1 100000
1512 100000 1
1514 1 100000
1514 100000 1
1516 1 100000
1516 100000 1
1518 1 100000
1518 100000 1
1520 1 100000
1520 100000 1
1522 1 100000
1522 100000 1
1524 1 100000
1524 100000 1
1526 1 100000
1526 100000 1
1528 1 100000
1528 100000 1
1530 1 100000
1530 100000 1
1532 1 100000
1532 100000 1
1534 1 100000
1534 100000 1
1536 1 100000
1536 100000 1
1538 1 100000
1538 100000 1
1540 1 100000
1540 100000 1
1542 1 100000
1542 100000 1
1544 1 100000
1544 100000 1
1546 1 100000
1546 100000 1
1548 1 100000
1548 100000 1
1550 1 100000
1550 100000 1
1552 1 100000
1552 100000 1
1554 1 100000
1554 100000 1
1556 1 100000
1556 100000 1
1558 1 100000
1558 100000 1
1560 1 100000
1560 100000 1
1562 1 100000
1562 100000 1
1564 1 100000
1564 100000 1
1566 1 100000
1566 100000 1
1568 1 100000
1568 100000 1
1570 1 100000
1570 100000 1
1572 1 100000
1572 100000 1
1574 1 100000
1574 100000 1
1576 1 100000
1576 100000 1
1578 1 100000
1578 100000 1
1580 1 100000
1580 100000 1
1582 1 100000
1582 100000 1
1584 1 100000
1584 100000 1
1586 1 100000
1586 100000 1
1588 1 100000
1588 100000 1
1590 1 100000
1590 100000 1
1592 1 100000
1592 100000 1
1594 1 100000
1594 100000 1
1596 1 100000
1596 100000 1
1598 1 100000
1598 100000 1
1600 1 100000
1600 100000 1
1602 1 100000
1602 100000 1
1604 1 100000
1604 100000 1
1606 1 100000
1606 100000 1
1608 1 100000
1608 100000 1
1610 1 100000
1610 100000 1
1612 1 100000
1612 100000 1
1614 1 100000
1614 100000 1
1616 1 100000
1616 100000 1
1618 1 100000
1618 100000 1
1620 1 100000
1620 100000 1
1622 1 100000
1622 100000 1
1624 1 100000
1624 100000 1
1626 1 100000
1626 100000 1
1628 1 100000
1628 100000 1
1630 1 100000
1630 100000 1
1632 1 100000
1632 100000 1
1634 1 100000
1634 100000 1
1636 1 100000
1636 100000 1
1638 1 100000
1638 100000 1
1640 1 100000
1640 100000 1
1642 1 100000
1642 100000 1
1644 1 100000
1644 100000 1
1646 1 100000
1646 100000 1
1648 1 100000
1648 100000 1
1650 1 100000
1650 100000 1
1652 1 100000
1652 100000 1
1654 1 100000
1654 100000 1
1656 1 100000
1656 100000 1
1658 1 100000
1658 100000 1
1660 1 100000
1660 100000 1
1662 1 100000
1662 100000 1
1664 1 100000
1664 100000 1
1666 1 100000
1666 100000 1
1668 1 100000
1668 100000 1
1670 1 100000
1670 100000 1
1672 1 100000
1672 100000 1
1674 1 100000
1674 100000 1
1676 1 100000
1676 100000 1
1678 1 100000
1678 100000 1
1680 1 100000
1680 100000 1
1682 1 100000
1682 100000 1
1684 1 100000
1684 100000 1
1686 1 100000
1686 100000 1
1688 1 100000
1688 100000 1
1690 1 100000
1690 100000 1
1692 1 100000
1692 100000 1
1694 1 100000
1694 100000 1
1696 1 100000
1696 100000 1
1698 1 100000
1698 100000 1
1700 1 100000
1700 100000 1
1702 1 100000
1702 100000 1
1704 1 100000
1704 100000 1
1706 1 100000
1706 100000 1
1708 1 100000
1708 100000 1
1710 1 100000
1710 100000 1
1712 1 100000
1712 100000 1
1714 1 100000
1714 100000 1
1716 1 100000
1716 100000 1
1718 1 100000
1718 100000 1
1720 1 100000
1720 100000 1
1722 1 100000
1722 100000 1
1724 1 100000
1724 100000 1
1726 1 100000
1726 100000 1
1728 1 100000
1728 100000 1
1730 1 100000
1730 100000 1
1732 1 100000
1732 100000 1
1734 1 100000
1734 100000 1
1736 1 100000
1736 100000 1
1738 1 100000
1738 100000 1
1740 1 100000
1740 100000 1
1742 1 100000
1742 100000 1
1744 1 100000
1744 100000 1
1746 1 100000
1746 100000 1
1748 1 100000
1748 100000 1
1750 1 100000
1750 100000 1
1752 1 100000
1752 100000 1
1754 1 100000
1754 100000 1
1756 1 100000
1756 100000 1
1758 1 100000
1758 100000 1
1760 1 100000
1760 100000 1
1762 1 100000
1762 100000 1
1764 1 100000
1764 100000 1
1766 1 100000
1766 100000 1
1768 1 100000
1768 100000 1
1770 1 100000
1770 100000 1
1772 1 100000
1772 100000 1
1774 1 100000
1774 100000 1
1776 1 100000
1776 100000 1
1778 1 100000
1778 100000 1
1780 1 100000
1780 100000 1
1782 1 100000
1782 100000 1
1784 1 100000
1784 100000 1
1786 1 100000
1786 100000 1
1788 1 100000
1788 100000 1
1790 1 100000
1790 100000 1
1792 1 100000
1792 100000 1
1794 1 100000
1794 100000 1
1796 1 100000
1796 100000 1
1798 1 100000
1798 100000 1
1800 1 100000
1800 100000 1
1802 1 100000
1802 100000 1
1804 1 100000
1804 100000 1
1806 1 100000
1806 100000 1
1808 1 100000
1808 100000 1
1810 1 100000
1810 100000 1
1812 1 100000
1812 100000 1
1814 1 100000
1814 100000 1
1816 1 100000
1816 100000 1
1818 1 100000
1818 100000 1
1820 1 100000
1820 100000 1
1822 1 100000
1822 100000 1
1824 1 100000
1824 100000 1
1826 1 100000
1826 100000 1
1828 1 100000
1828 100000 1
1830 1 100000
1830 100000 1
1832 1 100000
1832 100000 1
1834 1 100000
1834 100000 1
1836 1 100000
1836 100000 1
1838 1 100000
1838 100000 1
1840 1 100000
1840 100000 1
1842 1 100000
1842 100000 1
1844 1 100000
1844 100000 1
1846 1 100000
1846 100000 1
1848 1 100000
1848 100000 1
1850 1 100000
1850 100000 1
1852 1 100000
1852 100000 1
1854 1 100000
1854 100000 1
1856 1 100000
1856 100000 1
1858 1 100000
1858 100000 1
1860 1 100000
1860 100000 1
1862 1 100000
1862 100000 1
1864 1 100000
1864 100000 1
1866 1 100000
1866 100000 1
1868 1 100000
1868 100000 1
1870 1 100000
1870 100000 1
1872 1 100000
1872 100000 1
1874 1 100000
1874 100000 1
1876 1 100000
