170422 093623.480|CONFIG|Thread-5|setFileHandlers|Now logging to D:\Neon\ACM~ICPC\pc2Client\bin\logs directory.
170422 093642.715|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 211 QUEUED_FOR_COMPUTER_JUDGEMENT 95 min 5744290ms from TEAM16 @ site 1 id Run--2257401528764365240 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 093643.418|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1905 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093644.449|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1909 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093644.465|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #1909 ) recieveObject
170422 093644.465|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 093644.465|INFO|Thread-9|dumpPacket|    To: TEAM16 @ site 1
170422 093644.465|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord--5653998452768978378
170422 093644.465|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 093644.465|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 211 JUDGED 95 min 5744290ms from TEAM16 @ site 1 id Run--2257401528764365240 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 093644.465|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #1909 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 093644.511|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #1909 ) handlePacket
170422 093644.511|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 093644.511|INFO|Thread-9|dumpPacket|    To: TEAM16 @ site 1
170422 093644.511|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord--5653998452768978378
170422 093644.511|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 093644.511|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 211 JUDGED 95 min 5744290ms from TEAM16 @ site 1 id Run--2257401528764365240 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 093645.558|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1909 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094030.825|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI C C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProC.cpp
170422 094030.887|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094030.887|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094031.200|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1937 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094031.200|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1937 ) recieveObject
170422 094031.200|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094031.215|INFO|Thread-11|dumpPacket|    To: TEAM16 @ site 1
170422 094031.215|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 214 QUEUED_FOR_COMPUTER_JUDGEMENT 99 min 5972573ms from TEAM16 @ site 1 id Run--1404042287726211437 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094031.231|INFO|Thread-11|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1937 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094031.231|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1937 ) handlePacket
170422 094031.231|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094031.231|INFO|Thread-11|dumpPacket|    To: TEAM16 @ site 1
170422 094031.231|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 214 QUEUED_FOR_COMPUTER_JUDGEMENT 99 min 5972573ms from TEAM16 @ site 1 id Run--1404042287726211437 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094031.918|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1937 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094032.653|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1945 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094032.653|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #1945 ) recieveObject
170422 094032.653|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094032.653|INFO|Thread-12|dumpPacket|    To: TEAM16 @ site 1
170422 094032.653|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord-8497373091576233782
170422 094032.653|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094032.653|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 214 JUDGED 99 min 5972573ms from TEAM16 @ site 1 id Run--1404042287726211437 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094032.653|INFO|Thread-12|info|handlePacket start Packet[RUN_JUDGEMENT] #1945 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094032.653|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #1945 ) handlePacket
170422 094032.653|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094032.653|INFO|Thread-12|dumpPacket|    To: TEAM16 @ site 1
170422 094032.668|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord-8497373091576233782
170422 094032.668|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094032.668|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 214 JUDGED 99 min 5972573ms from TEAM16 @ site 1 id Run--1404042287726211437 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094033.809|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1945 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094606.529|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI C C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProC.cpp
170422 094606.545|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094606.545|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094606.607|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2002 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094606.607|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2002 ) recieveObject
170422 094606.607|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094606.607|INFO|Thread-14|dumpPacket|    To: TEAM16 @ site 1
170422 094606.607|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 222 QUEUED_FOR_COMPUTER_JUDGEMENT 105 min 6308201ms from TEAM16 @ site 1 id Run--4987139612603000143 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094606.607|INFO|Thread-14|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2002 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094606.607|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2002 ) handlePacket
170422 094606.607|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094606.607|INFO|Thread-14|dumpPacket|    To: TEAM16 @ site 1
170422 094606.607|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 222 QUEUED_FOR_COMPUTER_JUDGEMENT 105 min 6308201ms from TEAM16 @ site 1 id Run--4987139612603000143 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094607.295|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2002 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094608.295|INFO|Thread-15|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2010 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094608.295|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #2010 ) recieveObject
170422 094608.295|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094608.295|INFO|Thread-15|dumpPacket|    To: TEAM16 @ site 1
170422 094608.295|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord-7029141995337650791
170422 094608.295|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094608.295|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 222 JUDGED 105 min 6308201ms from TEAM16 @ site 1 id Run--4987139612603000143 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094608.295|INFO|Thread-15|info|handlePacket start Packet[RUN_JUDGEMENT] #2010 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094608.295|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #2010 ) handlePacket
170422 094608.310|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094608.310|INFO|Thread-15|dumpPacket|    To: TEAM16 @ site 1
170422 094608.310|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord-7029141995337650791
170422 094608.310|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094608.310|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 222 JUDGED 105 min 6308201ms from TEAM16 @ site 1 id Run--4987139612603000143 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094609.248|INFO|Thread-15|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2010 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094948.280|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI C C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProC.cpp
170422 094948.280|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094948.280|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 094948.358|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2043 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094948.358|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2043 ) recieveObject
170422 094948.358|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094948.358|INFO|Thread-17|dumpPacket|    To: TEAM16 @ site 1
170422 094948.358|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 228 QUEUED_FOR_COMPUTER_JUDGEMENT 108 min 6529969ms from TEAM16 @ site 1 id Run--381516909141413927 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094948.373|INFO|Thread-17|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2043 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094948.373|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2043 ) handlePacket
170422 094948.373|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094948.373|INFO|Thread-17|dumpPacket|    To: TEAM16 @ site 1
170422 094948.373|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 228 QUEUED_FOR_COMPUTER_JUDGEMENT 108 min 6529969ms from TEAM16 @ site 1 id Run--381516909141413927 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094949.108|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2043 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094949.639|INFO|Thread-18|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2047 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094949.639|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #2047 ) recieveObject
170422 094949.639|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094949.639|INFO|Thread-18|dumpPacket|    To: TEAM16 @ site 1
170422 094949.655|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord--3509728637196047832
170422 094949.655|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094949.655|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 228 JUDGED 108 min 6529969ms from TEAM16 @ site 1 id Run--381516909141413927 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094949.655|INFO|Thread-18|info|handlePacket start Packet[RUN_JUDGEMENT] #2047 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 094949.655|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #2047 ) handlePacket
170422 094949.670|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 094949.670|INFO|Thread-18|dumpPacket|    To: TEAM16 @ site 1
170422 094949.670|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No - Wrong Answer--1256782966689908719 id JudgementRecord--3509728637196047832
170422 094949.670|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 094949.670|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 228 JUDGED 108 min 6529969ms from TEAM16 @ site 1 id Run--381516909141413927 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 094950.623|INFO|Thread-18|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2047 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101032.284|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI A C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProA.cpp
170422 101032.362|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 101032.362|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 101033.237|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2568 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101033.237|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2568 ) recieveObject
170422 101033.237|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101033.237|INFO|Thread-20|dumpPacket|    To: TEAM16 @ site 1
170422 101033.268|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 281 QUEUED_FOR_COMPUTER_JUDGEMENT 129 min 7774835ms from TEAM16 @ site 1 id Run-7378055392701793720 problem BAI A--8444412745178517809 lang C/C++--4422703813555244916
170422 101033.268|INFO|Thread-20|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2568 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101033.268|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2568 ) handlePacket
170422 101033.268|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101033.268|INFO|Thread-20|dumpPacket|    To: TEAM16 @ site 1
170422 101033.268|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 281 QUEUED_FOR_COMPUTER_JUDGEMENT 129 min 7774835ms from TEAM16 @ site 1 id Run-7378055392701793720 problem BAI A--8444412745178517809 lang C/C++--4422703813555244916
170422 101034.471|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2568 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101036.268|INFO|Thread-21|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2572 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101036.268|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #2572 ) recieveObject
170422 101036.268|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101036.268|INFO|Thread-21|dumpPacket|    To: TEAM16 @ site 1
170422 101036.268|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Time Limit Exceeded-1305135909422117712 id JudgementRecord--2026358265892710134
170422 101036.268|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 101036.268|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 281 JUDGED 129 min 7774835ms from TEAM16 @ site 1 id Run-7378055392701793720 problem BAI A--8444412745178517809 lang C/C++--4422703813555244916
170422 101036.284|INFO|Thread-21|info|handlePacket start Packet[RUN_JUDGEMENT] #2572 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101036.284|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #2572 ) handlePacket
170422 101036.284|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101036.284|INFO|Thread-21|dumpPacket|    To: TEAM16 @ site 1
170422 101036.284|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Time Limit Exceeded-1305135909422117712 id JudgementRecord--2026358265892710134
170422 101036.284|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170422 101036.284|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 281 JUDGED 129 min 7774835ms from TEAM16 @ site 1 id Run-7378055392701793720 problem BAI A--8444412745178517809 lang C/C++--4422703813555244916
170422 101037.221|INFO|Thread-21|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2572 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101826.202|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for BAI C C/C++ file: C:\Users\ThaiLe\Desktop\ACM 2017\ACM17-ProC.cpp
170422 101826.217|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #7 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 101826.217|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #7 TEAM16 @ site 1 -> SERVER0 @ site 1
170422 101826.358|INFO|Thread-23|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2681 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101826.358|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2681 ) recieveObject
170422 101826.358|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101826.358|INFO|Thread-23|dumpPacket|    To: TEAM16 @ site 1
170422 101826.358|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 292 QUEUED_FOR_COMPUTER_JUDGEMENT 137 min 8247970ms from TEAM16 @ site 1 id Run--4127518388373298961 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 101826.358|INFO|Thread-23|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2681 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101826.358|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2681 ) handlePacket
170422 101826.358|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1 (WIN-VKM94GL09JA @ 10.99.3.97) (Contest Id: Default-15984773180745303)
170422 101826.358|INFO|Thread-23|dumpPacket|    To: TEAM16 @ site 1
170422 101826.358|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 292 QUEUED_FOR_COMPUTER_JUDGEMENT 137 min 8247970ms from TEAM16 @ site 1 id Run--4127518388373298961 problem BAI C-3096843853954322496 lang C/C++--4422703813555244916
170422 101827.092|INFO|Thread-23|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2681 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101828.436|INFO|Thread-24|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2685 SERVER0 @ site 1 -> TEAM16 @ site 1
170422 101828.436|INFO|Thread-24|dumpPacket|Packet RUN_JUDGEMENT (Seq #2685 ) recieveObject
